=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
05/23/2013	1:05:47	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/23/2013	1:13:22	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	1:20:42	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/23/2013	1:28:20	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	1:43:18	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	1:50:33	00:00.0	R	0000_0000000174764544	A3	1	5398								
05/23/2013	1:56:29	00:00.0	R	0000_0000000174764573	A1	1	16695								
05/23/2013	1:58:17	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	2:13:15	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	2:20:24	00:00.0	R	0000_0000000174764544	A3	1	5396								
05/23/2013	2:27:16	00:00.0	R	0000_0000000174764573	A1	1	5564								
05/23/2013	2:28:14	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	2:35:19	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/23/2013	2:43:12	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	2:50:14	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/23/2013	2:58:02	00:00.0	R	0000_0000000174764573	A1	1	5564								
05/23/2013	2:58:10	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	3:05:09	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/23/2013	3:28:49	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/23/2013	3:34:59	00:00.0	R	0000_0000000174764544	A3	1	5394								
05/23/2013	3:43:04	00:00.0	R	0000_0000000180573686	A2	1	8120								
05/23/2013	3:49:54	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/23/2013	3:58:03	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	3:59:35	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/23/2013	4:13:01	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	4:19:44	00:00.0	R	0000_0000000174764544	A3	1	5393								
05/23/2013	4:30:23	00:00.0	R	0000_0000000174764573	A1	1	5567								
05/23/2013	4:34:39	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/23/2013	4:42:57	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/23/2013	4:49:34	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/23/2013	4:57:55	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	5:01:10	00:00.0	R	0000_0000000174764573	A1	1	5568								
05/23/2013	5:04:29	00:00.0	R	0000_0000000174764544	A3	1	2696								
05/23/2013	5:12:53	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	5:27:51	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	5:31:58	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	5:42:49	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	5:49:13	00:00.0	R	0000_0000000174764544	A3	1	8090								
05/23/2013	6:02:47	00:00.0	R	0000_0000000174764573	A1	1	5570								
05/23/2013	6:04:08	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/23/2013	6:12:45	00:00.0	R	0000_0000000180573686	A2	1	5412								
