

upload #10 start: 05/03/2013 06:32:24.93
Site code: AA
--------- upload 10 start ---------
05/03/2013 06:32:24.93 upload 9 complete
05/03/2013 06:40:09.42 supply power ok 13.1V
05/03/2013 06:40:09.42 database file opened
05/03/2013 06:40:09.42 starting reader after power up
05/03/2013 15:12:02.40  00:00:00.00 A 900_226000135162 A3    1    54
05/03/2013 15:18:08.64  00:00:00.00 R 0000_0000000174764544 A3    1  1104
05/03/2013 15:19:44.08  00:00:00.00 A 900_226000135162 A3    1   287
05/03/2013 15:19:47.73  00:00:00.34 A 900_226000135162 A3    2    10
05/03/2013 15:19:59.00  00:00:00.00 A 900_226000135162 A3    1    32
05/03/2013 15:20:00.66  00:00:00.00 A 900_226000135162 A3    1     4
05/03/2013 15:22:43.39  00:00:00.00 A 900_226000135162 A3    1   490
05/03/2013 15:32:58.21  00:00:00.00 A 900_226000135160 A3    1  1854
05/03/2013 15:33:00.53  00:00:00.33 A 900_226000135160 A3    2     6
05/03/2013 15:33:01.85  00:00:00.00 A 900_226000135160 A3    1     2
05/03/2013 15:33:06.83  00:00:00.00 R 0000_0000000174764544 A3    1    14
05/03/2013 15:40:38.35  00:00:00.00 R 0000_0000000174764573 A1    1  7233
05/03/2013 15:42:50.49  00:00:00.00 A 900_226000135160 A3    1  1760
05/03/2013 15:43:09.27  00:00:00.00 R 0000_0000000180573686 A2    1  5777
05/03/2013 15:45:09.69  00:00:00.00 A 900_226000135160 A3    1   419
05/03/2013 15:46:28.58  00:00:00.66 A 900_226000135160 A3    3   237
05/03/2013 15:57:33.76  00:00:00.00 A 900_226000135160 A3    1  2004
05/03/2013 15:58:08.45  00:00:00.00 R 0000_0000000180573686 A2    1  1392
05/03/2013 16:02:37.00  00:00:00.00 A 900_226000135106 A3    1   914
05/03/2013 16:03:03.85  00:00:00.00 R 0000_0000000174764544 A3    1    80
05/03/2013 16:11:26.01  00:00:00.00 R 0000_0000000174764573 A1    1  8420
05/03/2013 16:13:07.85  00:00:00.00 R 0000_0000000180573686 A2    1  1176
05/03/2013 16:15:15.55  00:00:00.00 A 900_226000135160 A3    1  2207
05/03/2013 16:16:53.65  00:00:00.00 A 900_226000135160 A3    1   295
05/03/2013 16:17:00.93  00:00:00.00 A 900_226000135160 A3    1    21
05/03/2013 16:18:02.25  00:00:00.00 R 0000_0000000174764544 A3    1   184
05/03/2013 16:18:19.48  00:00:00.33 A 900_226000135162 A3    2    51
05/03/2013 16:21:06.51  00:00:00.00 A 900_226000135106 A3    1   502
05/03/2013 16:21:08.17  00:00:00.00 A 900_226000135106 A3    1     4
05/03/2013 16:21:12.15  00:00:00.00 A 900_226000135106 A3    1    11
05/03/2013 16:28:06.93  00:00:00.00 R 0000_0000000180573686 A2    1  1057
05/03/2013 16:33:00.68  00:00:00.00 R 0000_0000000174764544 A3    1  2137
05/03/2013 16:53:19.56  00:00:00.00 A 900_226000135160 A3    1  3677
05/03/2013 16:58:05.44  00:00:00.00 R 0000_0000000180573686 A2    1  2364
05/03/2013 17:00:59.55  00:00:00.33 A 900_226000135160 A3    2  1387
05/03/2013 17:12:58.83  00:00:00.00 R 0000_0000000174764573 A1    1 17328
05/03/2013 17:17:57.99  00:00:00.00 R 0000_0000000174764544 A3    1  3071
05/03/2013 17:28:03.71  00:00:00.00 R 0000_0000000180573686 A2    1  3178
05/03/2013 17:32:56.79  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/03/2013 17:43:02.84  00:00:00.00 R 0000_0000000180573686 A2    1  1871
05/03/2013 17:47:55.93  00:00:00.00 R 0000_0000000174764544 A3    1  2712
05/03/2013 18:02:54.74  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/03/2013 18:13:01.15  00:00:00.00 R 0000_0000000180573686 A2    1  3603
05/03/2013 18:14:30.53  00:00:00.00 R 0000_0000000174764573 A1    1 14893
05/03/2013 18:17:54.26  00:00:00.00 R 0000_0000000174764544 A3    1  2713
05/03/2013 18:32:53.43  00:00:00.00 R 0000_0000000174764544 A3    1  2712
05/03/2013 18:47:52.22  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/03/2013 18:57:57.27  00:00:00.00 R 0000_0000000180573686 A2    1  4298
05/03/2013 19:32:49.84  00:00:00.00 R 0000_0000000174764544 A3    1  8139
05/03/2013 19:33:17.35  00:00:00.00 A 900_226000135104 A3    1    82
05/03/2013 19:34:16.33  00:00:00.00 A 900_226000135104 A3    1   177
05/03/2013 19:34:17.33  00:00:00.00 A 900_226000135104 A3    1     2
05/03/2013 19:34:18.32  00:00:01.33 A 900_226000135104 A3    5     2
05/03/2013 19:39:26.53  00:00:00.00 A 900_226000135104 A3    1   925
05/03/2013 19:40:12.94  00:00:00.00 A 900_226000135104 A3    1   139
